[2026-07-18 18:30:27,738] [INFO] [job_manager.py:117]: Job 018e58bd-463e-406f-a238-cea6d268c756 workspace created successfully
[2026-07-18 18:30:29,794] [INFO] [pipeline_service.py:36]: Starting validation for job: 018e58bd-463e-406f-a238-cea6d268c756
[2026-07-18 18:30:29,808] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 18:30:29,823] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 18:30:29,837] [INFO] [pipeline_service.py:51]: Validation successful.
[2026-07-18 18:30:29,849] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 18:30:29,849] [INFO] [pipeline_service.py:58]: Starting document analysis for job: 018e58bd-463e-406f-a238-cea6d268c756
[2026-07-18 18:30:29,869] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 18:30:29,884] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 18:30:29,884] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\018e58bd-463e-406f-a238-cea6d268c756\input\style_vancouver.docx
[2026-07-18 18:30:30,073] [INFO] [document_analyzer.py:416]: Parsed document: title='Test Document Title', authors=2, sections=1, references=2
[2026-07-18 18:30:30,075] [INFO] [pipeline_service.py:86]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\018e58bd-463e-406f-a238-cea6d268c756\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\018e58bd-463e-406f-a238-cea6d268c756\intermediate\conversion_report.json
[2026-07-18 18:30:30,090] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 18:30:30,091] [INFO] [pipeline_service.py:99]: Starting asset extraction for job: 018e58bd-463e-406f-a238-cea6d268c756
[2026-07-18 18:30:30,100] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
[2026-07-18 18:30:30,117] [INFO] [job_manager.py:185]: Progress updated to 50%: Extracting images and figure assets from document
[2026-07-18 18:30:30,304] [INFO] [pipeline_service.py:111]: Assets extracted to: G:\work\Journal2LaTeX\backend\temp\018e58bd-463e-406f-a238-cea6d268c756\intermediate\media
[2026-07-18 18:30:30,317] [INFO] [job_manager.py:185]: Progress updated to 60%: Document assets extracted successfully
[2026-07-18 18:30:30,318] [INFO] [pipeline_service.py:123]: Classifying extracted assets for job: 018e58bd-463e-406f-a238-cea6d268c756
[2026-07-18 18:30:30,318] [INFO] [asset_analyzer.py:23]: Starting extended asset analysis for job: 018e58bd-463e-406f-a238-cea6d268c756
[2026-07-18 18:30:30,320] [INFO] [asset_analyzer.py:153]: Extended asset classification completed. Assets classified: 0
[2026-07-18 18:30:30,330] [INFO] [job_manager.py:185]: Progress updated to 65%: Extracted assets analyzed and mapped successfully
[2026-07-18 18:30:32,390] [INFO] [pipeline_service.py:139]: Loading template default for job: 018e58bd-463e-406f-a238-cea6d268c756
[2026-07-18 18:30:32,392] [INFO] [job_manager.py:161]: Job status updated to: LOADING_TEMPLATE
[2026-07-18 18:30:32,406] [INFO] [job_manager.py:185]: Progress updated to 70%: Loading template styles: default
[2026-07-18 18:30:32,420] [INFO] [pipeline_service.py:157]: Template loaded and workspace prepared at: G:\work\Journal2LaTeX\backend\temp\018e58bd-463e-406f-a238-cea6d268c756\rendered
[2026-07-18 18:30:32,433] [INFO] [job_manager.py:185]: Progress updated to 80%: Template workspace initialized
[2026-07-18 18:30:32,435] [INFO] [pipeline_service.py:170]: Starting LaTeX rendering for job: 018e58bd-463e-406f-a238-cea6d268c756
[2026-07-18 18:30:32,447] [INFO] [job_manager.py:161]: Job status updated to: RENDERING_LATEX
[2026-07-18 18:30:32,465] [INFO] [job_manager.py:185]: Progress updated to 85%: Rendering document content to LaTeX
[2026-07-18 18:30:32,492] [INFO] [latex_renderer.py:70]: Starting LaTeX rendering inside workspace: G:\work\Journal2LaTeX\backend\temp\018e58bd-463e-406f-a238-cea6d268c756\rendered
[2026-07-18 18:30:32,535] [INFO] [latex_renderer.py:337]: LaTeX document main.tex rendered successfully.
[2026-07-18 18:30:32,553] [INFO] [job_manager.py:185]: Progress updated to 90%: LaTeX document rendering completed
[2026-07-18 18:30:32,553] [INFO] [pipeline_service.py:204]: Starting document compilation for job: 018e58bd-463e-406f-a238-cea6d268c756
[2026-07-18 18:30:32,570] [INFO] [job_manager.py:161]: Job status updated to: COMPILING
[2026-07-18 18:30:32,581] [INFO] [job_manager.py:185]: Progress updated to 92%: Compiling LaTeX source to PDF
[2026-07-18 18:30:35,791] [INFO] [pipeline_service.py:226]: Compilation completed successfully.
[2026-07-18 18:30:35,792] [INFO] [pipeline_service.py:238]: Running E2E publication fidelity checker for job: 018e58bd-463e-406f-a238-cea6d268c756
[2026-07-18 18:30:35,792] [INFO] [fidelity_checker.py:24]: Generating advanced fidelity report and scores for job: 018e58bd-463e-406f-a238-cea6d268c756
[2026-07-18 18:30:35,794] [INFO] [fidelity_checker.py:163]: Fidelity report written to G:\work\Journal2LaTeX\backend\temp\018e58bd-463e-406f-a238-cea6d268c756\intermediate\fidelity_report.json. Overall Score: 99.5%, Critical missing: 0
[2026-07-18 18:30:35,805] [INFO] [job_manager.py:161]: Job status updated to: COMPLETED
[2026-07-18 18:30:35,816] [INFO] [job_manager.py:185]: Progress updated to 100%: Pipeline process completed successfully
