[2026-07-17 23:21:57,701] [INFO] [job_manager.py:92]: Job 01ec9502-c37d-45b6-b931-ebcafd03fa2d workspace created successfully
[2026-07-17 23:26:30,004] [INFO] [pipeline_service.py:30]: Starting validation for job: 01ec9502-c37d-45b6-b931-ebcafd03fa2d
[2026-07-17 23:26:30,005] [INFO] [job_manager.py:136]: Job status updated to: VALIDATING
[2026-07-17 23:26:30,018] [INFO] [job_manager.py:160]: Progress updated to 10%: Validating input Word Document
[2026-07-17 23:26:30,036] [INFO] [pipeline_service.py:46]: Validation successful.
[2026-07-17 23:26:30,052] [INFO] [job_manager.py:160]: Progress updated to 20%: Input document validated successfully
[2026-07-17 23:26:30,052] [INFO] [pipeline_service.py:61]: Starting document conversion for job: 01ec9502-c37d-45b6-b931-ebcafd03fa2d
[2026-07-17 23:26:30,072] [INFO] [job_manager.py:136]: Job status updated to: CONVERTING
[2026-07-17 23:26:30,089] [INFO] [job_manager.py:160]: Progress updated to 30%: Converting document elements to LaTeX
[2026-07-17 23:26:30,604] [INFO] [job_manager.py:160]: Progress updated to 50%: Extracting embedded media files
[2026-07-17 23:26:31,014] [INFO] [pipeline_service.py:82]: Conversion completed successfully.
[2026-07-17 23:26:31,027] [INFO] [job_manager.py:160]: Progress updated to 60%: Document conversion completed
[2026-07-17 23:26:55,026] [INFO] [pipeline_service.py:30]: Starting validation for job: 01ec9502-c37d-45b6-b931-ebcafd03fa2d
[2026-07-17 23:26:55,027] [INFO] [job_manager.py:136]: Job status updated to: VALIDATING
[2026-07-17 23:26:55,044] [INFO] [job_manager.py:160]: Progress updated to 10%: Validating input Word Document
[2026-07-17 23:26:55,045] [INFO] [pipeline_service.py:46]: Validation successful.
[2026-07-17 23:26:55,056] [INFO] [job_manager.py:160]: Progress updated to 20%: Input document validated successfully
[2026-07-17 23:26:55,057] [INFO] [pipeline_service.py:61]: Starting document conversion for job: 01ec9502-c37d-45b6-b931-ebcafd03fa2d
[2026-07-17 23:26:55,070] [INFO] [job_manager.py:136]: Job status updated to: CONVERTING
[2026-07-17 23:26:55,082] [INFO] [job_manager.py:160]: Progress updated to 30%: Converting document elements to LaTeX
[2026-07-17 23:26:55,452] [INFO] [job_manager.py:160]: Progress updated to 50%: Extracting embedded media files
[2026-07-17 23:26:55,803] [INFO] [pipeline_service.py:82]: Conversion completed successfully.
[2026-07-17 23:26:55,815] [INFO] [job_manager.py:160]: Progress updated to 60%: Document conversion completed
[2026-07-17 23:33:07,750] [INFO] [pipeline_service.py:102]: Starting document compilation for job: 01ec9502-c37d-45b6-b931-ebcafd03fa2d
[2026-07-17 23:33:07,751] [INFO] [job_manager.py:136]: Job status updated to: COMPILING
[2026-07-17 23:33:07,766] [INFO] [job_manager.py:160]: Progress updated to 70%: Running LaTeX compilation engine
[2026-07-17 23:33:10,912] [ERROR] [pipeline_service.py:122]: LaTeX compiler failed: LaTeX compilation failed with return code 12.
[2026-07-17 23:33:10,926] [ERROR] [job_manager.py:184]: Job error added: LaTeX compiler failed: LaTeX compilation failed with return code 12.
