[2026-07-22 12:15:33,824] [INFO] [layout_optimizer.py:70]: Starting layout optimization loop for job: 2e6f3a05-abca-48e7-ae02-350e26845cf8
[2026-07-22 12:15:53,400] [INFO] [layout_optimizer.py:190]: Iteration 1: similarity 64.70%, header 83.68%, pages 27 (target 30)
[2026-07-22 12:16:05,794] [INFO] [layout_optimizer.py:190]: Iteration 2: similarity 67.56%, header 83.68%, pages 28 (target 30)
[2026-07-22 12:16:18,239] [INFO] [layout_optimizer.py:190]: Iteration 3: similarity 72.46%, header 83.68%, pages 30 (target 30)
[2026-07-22 12:16:30,548] [INFO] [layout_optimizer.py:190]: Iteration 4: similarity 72.46%, header 83.68%, pages 30 (target 30)
[2026-07-22 12:16:42,831] [INFO] [layout_optimizer.py:190]: Iteration 5: similarity 72.46%, header 83.68%, pages 30 (target 30)
[2026-07-22 12:16:55,668] [INFO] [layout_optimizer.py:190]: Iteration 6: similarity 72.47%, header 83.68%, pages 30 (target 30)
[2026-07-22 12:17:08,453] [INFO] [layout_optimizer.py:190]: Iteration 7: similarity 72.49%, header 83.68%, pages 30 (target 30)
[2026-07-22 12:17:20,708] [INFO] [layout_optimizer.py:190]: Iteration 8: similarity 72.48%, header 83.68%, pages 30 (target 30)
[2026-07-22 12:17:32,859] [INFO] [layout_optimizer.py:190]: Iteration 9: similarity 72.49%, header 83.68%, pages 30 (target 30)
[2026-07-22 12:17:44,701] [INFO] [layout_optimizer.py:190]: Iteration 10: similarity 72.49%, header 83.68%, pages 30 (target 30)
[2026-07-22 12:17:44,703] [INFO] [layout_optimizer.py:102]: Layout optimization finished (no improvement for 3 iterations). Best similarity: 72.49%
