[2026-07-22 00:43:11,676] [INFO] [layout_optimizer.py:70]: Starting layout optimization loop for job: 336e11c2-3434-4720-b07f-40db05384bc9
[2026-07-22 00:43:31,870] [INFO] [layout_optimizer.py:190]: Iteration 1: similarity 53.81%, header 85.89%, pages 23 (target 30)
[2026-07-22 00:43:43,406] [INFO] [layout_optimizer.py:190]: Iteration 2: similarity 61.24%, header 86.14%, pages 26 (target 30)
[2026-07-22 00:43:57,458] [INFO] [layout_optimizer.py:190]: Iteration 3: similarity 66.36%, header 85.04%, pages 28 (target 30)
[2026-07-22 00:44:11,122] [INFO] [layout_optimizer.py:190]: Iteration 4: similarity 71.26%, header 84.59%, pages 30 (target 30)
[2026-07-22 00:44:25,491] [INFO] [layout_optimizer.py:190]: Iteration 5: similarity 71.26%, header 84.60%, pages 30 (target 30)
[2026-07-22 00:44:39,000] [INFO] [layout_optimizer.py:190]: Iteration 6: similarity 71.26%, header 84.58%, pages 30 (target 30)
[2026-07-22 00:44:53,230] [INFO] [layout_optimizer.py:190]: Iteration 7: similarity 71.27%, header 84.58%, pages 30 (target 30)
[2026-07-22 00:45:05,564] [INFO] [layout_optimizer.py:190]: Iteration 8: similarity 71.26%, header 84.58%, pages 30 (target 30)
[2026-07-22 00:45:17,775] [INFO] [layout_optimizer.py:190]: Iteration 9: similarity 71.27%, header 84.58%, pages 30 (target 30)
[2026-07-22 00:45:29,866] [INFO] [layout_optimizer.py:190]: Iteration 10: similarity 71.27%, header 84.58%, pages 30 (target 30)
[2026-07-22 00:45:29,867] [INFO] [layout_optimizer.py:102]: Layout optimization finished (no improvement for 3 iterations). Best similarity: 71.27%
