[2026-07-18 18:30:57,947] [INFO] [job_manager.py:117]: Job 3966bee5-3b3a-409b-8dbb-16c944f7fa94 workspace created successfully
[2026-07-18 18:31:00,008] [INFO] [pipeline_service.py:36]: Starting validation for job: 3966bee5-3b3a-409b-8dbb-16c944f7fa94
[2026-07-18 18:31:00,027] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 18:31:00,043] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 18:31:00,063] [INFO] [pipeline_service.py:51]: Validation successful.
[2026-07-18 18:31:00,079] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 18:31:00,080] [INFO] [pipeline_service.py:58]: Starting document analysis for job: 3966bee5-3b3a-409b-8dbb-16c944f7fa94
[2026-07-18 18:31:00,096] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 18:31:00,111] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 18:31:00,111] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\3966bee5-3b3a-409b-8dbb-16c944f7fa94\input\style_mixed.docx
[2026-07-18 18:31:00,343] [INFO] [document_analyzer.py:416]: Parsed document: title='Test Document Title', authors=2, sections=1, references=2
[2026-07-18 18:31:00,345] [INFO] [pipeline_service.py:86]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\3966bee5-3b3a-409b-8dbb-16c944f7fa94\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\3966bee5-3b3a-409b-8dbb-16c944f7fa94\intermediate\conversion_report.json
[2026-07-18 18:31:00,360] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 18:31:00,360] [INFO] [pipeline_service.py:99]: Starting asset extraction for job: 3966bee5-3b3a-409b-8dbb-16c944f7fa94
[2026-07-18 18:31:00,376] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
[2026-07-18 18:31:00,392] [INFO] [job_manager.py:185]: Progress updated to 50%: Extracting images and figure assets from document
[2026-07-18 18:31:00,597] [INFO] [pipeline_service.py:111]: Assets extracted to: G:\work\Journal2LaTeX\backend\temp\3966bee5-3b3a-409b-8dbb-16c944f7fa94\intermediate\media
[2026-07-18 18:31:00,611] [INFO] [job_manager.py:185]: Progress updated to 60%: Document assets extracted successfully
[2026-07-18 18:31:00,611] [INFO] [pipeline_service.py:123]: Classifying extracted assets for job: 3966bee5-3b3a-409b-8dbb-16c944f7fa94
[2026-07-18 18:31:00,611] [INFO] [asset_analyzer.py:23]: Starting extended asset analysis for job: 3966bee5-3b3a-409b-8dbb-16c944f7fa94
[2026-07-18 18:31:00,613] [INFO] [asset_analyzer.py:153]: Extended asset classification completed. Assets classified: 0
[2026-07-18 18:31:00,625] [INFO] [job_manager.py:185]: Progress updated to 65%: Extracted assets analyzed and mapped successfully
[2026-07-18 18:31:02,676] [INFO] [pipeline_service.py:139]: Loading template default for job: 3966bee5-3b3a-409b-8dbb-16c944f7fa94
[2026-07-18 18:31:02,677] [INFO] [job_manager.py:161]: Job status updated to: LOADING_TEMPLATE
[2026-07-18 18:31:02,696] [INFO] [job_manager.py:185]: Progress updated to 70%: Loading template styles: default
[2026-07-18 18:31:02,712] [INFO] [pipeline_service.py:157]: Template loaded and workspace prepared at: G:\work\Journal2LaTeX\backend\temp\3966bee5-3b3a-409b-8dbb-16c944f7fa94\rendered
[2026-07-18 18:31:02,728] [INFO] [job_manager.py:185]: Progress updated to 80%: Template workspace initialized
[2026-07-18 18:31:02,730] [INFO] [pipeline_service.py:170]: Starting LaTeX rendering for job: 3966bee5-3b3a-409b-8dbb-16c944f7fa94
[2026-07-18 18:31:02,752] [INFO] [job_manager.py:161]: Job status updated to: RENDERING_LATEX
[2026-07-18 18:31:02,774] [INFO] [job_manager.py:185]: Progress updated to 85%: Rendering document content to LaTeX
