[2026-07-18 13:14:27,091] [INFO] [job_manager.py:117]: Job 4bf9f6a7-c878-48af-94a8-299752fd93b8 workspace created successfully
[2026-07-18 13:14:29,163] [INFO] [pipeline_service.py:34]: Starting validation for job: 4bf9f6a7-c878-48af-94a8-299752fd93b8
[2026-07-18 13:14:29,177] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 13:14:29,192] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 13:14:29,194] [INFO] [pipeline_service.py:49]: Validation successful.
[2026-07-18 13:14:29,209] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 13:14:29,209] [INFO] [pipeline_service.py:56]: Starting document analysis for job: 4bf9f6a7-c878-48af-94a8-299752fd93b8
[2026-07-18 13:14:29,231] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 13:14:29,246] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 13:14:29,246] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\4bf9f6a7-c878-48af-94a8-299752fd93b8\input\sample.docx
[2026-07-18 13:14:29,300] [INFO] [document_analyzer.py:416]: Parsed document: title='Hello from Journal2LaTeX. This is a minimal DOCX document to verify the conversion engine.', authors=0, sections=0, references=0
[2026-07-18 13:14:29,301] [INFO] [pipeline_service.py:84]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\4bf9f6a7-c878-48af-94a8-299752fd93b8\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\4bf9f6a7-c878-48af-94a8-299752fd93b8\intermediate\conversion_report.json
[2026-07-18 13:14:29,314] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 13:14:29,314] [INFO] [pipeline_service.py:97]: Starting asset extraction for job: 4bf9f6a7-c878-48af-94a8-299752fd93b8
[2026-07-18 13:14:29,327] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
[2026-07-18 13:14:29,341] [INFO] [job_manager.py:185]: Progress updated to 50%: Extracting images and figure assets from document
[2026-07-18 13:14:29,383] [INFO] [pipeline_service.py:108]: Assets extracted to: G:\work\Journal2LaTeX\backend\temp\4bf9f6a7-c878-48af-94a8-299752fd93b8\intermediate\media
[2026-07-18 13:14:29,397] [INFO] [job_manager.py:185]: Progress updated to 60%: Document assets extracted successfully
[2026-07-18 13:14:29,397] [INFO] [pipeline_service.py:120]: Classifying extracted assets for job: 4bf9f6a7-c878-48af-94a8-299752fd93b8
[2026-07-18 13:14:29,397] [INFO] [asset_analyzer.py:23]: Starting extended asset analysis for job: 4bf9f6a7-c878-48af-94a8-299752fd93b8
[2026-07-18 13:14:29,398] [INFO] [asset_analyzer.py:153]: Extended asset classification completed. Assets classified: 0
[2026-07-18 13:14:29,411] [INFO] [job_manager.py:185]: Progress updated to 65%: Extracted assets analyzed and mapped successfully
[2026-07-18 13:14:31,478] [INFO] [pipeline_service.py:136]: Loading template d5be6cfe-e350-4ab4-8a44-1bcf93e5691f for job: 4bf9f6a7-c878-48af-94a8-299752fd93b8
[2026-07-18 13:14:31,480] [INFO] [job_manager.py:161]: Job status updated to: LOADING_TEMPLATE
[2026-07-18 13:14:31,491] [INFO] [job_manager.py:185]: Progress updated to 70%: Loading template styles: d5be6cfe-e350-4ab4-8a44-1bcf93e5691f
[2026-07-18 13:14:31,497] [INFO] [pipeline_service.py:154]: Template loaded and workspace prepared at: G:\work\Journal2LaTeX\backend\temp\4bf9f6a7-c878-48af-94a8-299752fd93b8\rendered
[2026-07-18 13:14:31,507] [INFO] [job_manager.py:185]: Progress updated to 80%: Template workspace initialized
[2026-07-18 13:14:31,508] [INFO] [pipeline_service.py:167]: Starting LaTeX rendering for job: 4bf9f6a7-c878-48af-94a8-299752fd93b8
[2026-07-18 13:14:31,518] [INFO] [job_manager.py:161]: Job status updated to: RENDERING_LATEX
[2026-07-18 13:14:31,530] [INFO] [job_manager.py:185]: Progress updated to 85%: Rendering document content to LaTeX
[2026-07-18 13:14:31,531] [INFO] [latex_renderer.py:29]: Starting LaTeX rendering inside workspace: G:\work\Journal2LaTeX\backend\temp\4bf9f6a7-c878-48af-94a8-299752fd93b8\rendered
[2026-07-18 13:14:31,534] [INFO] [latex_renderer.py:186]: LaTeX document main.tex rendered successfully.
[2026-07-18 13:14:31,547] [INFO] [job_manager.py:185]: Progress updated to 90%: LaTeX document rendering completed
[2026-07-18 13:14:31,547] [INFO] [pipeline_service.py:201]: Starting document compilation for job: 4bf9f6a7-c878-48af-94a8-299752fd93b8
[2026-07-18 13:14:31,560] [INFO] [job_manager.py:161]: Job status updated to: COMPILING
[2026-07-18 13:14:31,573] [INFO] [job_manager.py:185]: Progress updated to 92%: Compiling LaTeX source to PDF
[2026-07-18 13:14:35,033] [INFO] [pipeline_service.py:223]: Compilation completed successfully.
[2026-07-18 13:14:35,034] [INFO] [pipeline_service.py:235]: Running E2E publication fidelity checker for job: 4bf9f6a7-c878-48af-94a8-299752fd93b8
[2026-07-18 13:14:35,034] [INFO] [fidelity_checker.py:24]: Generating advanced fidelity report and scores for job: 4bf9f6a7-c878-48af-94a8-299752fd93b8
[2026-07-18 13:14:35,036] [INFO] [fidelity_checker.py:163]: Fidelity report written to G:\work\Journal2LaTeX\backend\temp\4bf9f6a7-c878-48af-94a8-299752fd93b8\intermediate\fidelity_report.json. Overall Score: 99.5%, Critical missing: 0
[2026-07-18 13:14:35,048] [INFO] [job_manager.py:161]: Job status updated to: COMPLETED
[2026-07-18 13:14:35,063] [INFO] [job_manager.py:185]: Progress updated to 100%: Pipeline process completed successfully
