[2026-07-18 18:32:19,487] [INFO] [job_manager.py:117]: Job 4dcd0e66-44ed-4b9f-a34a-d51f90136ff8 workspace created successfully
[2026-07-18 18:32:21,544] [INFO] [pipeline_service.py:36]: Starting validation for job: 4dcd0e66-44ed-4b9f-a34a-d51f90136ff8
[2026-07-18 18:32:21,558] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 18:32:21,572] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 18:32:21,584] [INFO] [pipeline_service.py:51]: Validation successful.
[2026-07-18 18:32:21,595] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 18:32:21,595] [INFO] [pipeline_service.py:58]: Starting document analysis for job: 4dcd0e66-44ed-4b9f-a34a-d51f90136ff8
[2026-07-18 18:32:21,616] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 18:32:21,639] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 18:32:21,640] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\4dcd0e66-44ed-4b9f-a34a-d51f90136ff8\input\style_mixed.docx
[2026-07-18 18:32:21,853] [INFO] [document_analyzer.py:416]: Parsed document: title='Test Document Title', authors=2, sections=1, references=2
[2026-07-18 18:32:21,855] [INFO] [pipeline_service.py:86]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\4dcd0e66-44ed-4b9f-a34a-d51f90136ff8\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\4dcd0e66-44ed-4b9f-a34a-d51f90136ff8\intermediate\conversion_report.json
[2026-07-18 18:32:21,868] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 18:32:21,868] [INFO] [pipeline_service.py:99]: Starting asset extraction for job: 4dcd0e66-44ed-4b9f-a34a-d51f90136ff8
[2026-07-18 18:32:21,882] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
[2026-07-18 18:32:21,895] [INFO] [job_manager.py:185]: Progress updated to 50%: Extracting images and figure assets from document
[2026-07-18 18:32:22,100] [INFO] [pipeline_service.py:111]: Assets extracted to: G:\work\Journal2LaTeX\backend\temp\4dcd0e66-44ed-4b9f-a34a-d51f90136ff8\intermediate\media
[2026-07-18 18:32:22,113] [INFO] [job_manager.py:185]: Progress updated to 60%: Document assets extracted successfully
[2026-07-18 18:32:22,113] [INFO] [pipeline_service.py:123]: Classifying extracted assets for job: 4dcd0e66-44ed-4b9f-a34a-d51f90136ff8
[2026-07-18 18:32:22,113] [INFO] [asset_analyzer.py:23]: Starting extended asset analysis for job: 4dcd0e66-44ed-4b9f-a34a-d51f90136ff8
[2026-07-18 18:32:22,116] [INFO] [asset_analyzer.py:153]: Extended asset classification completed. Assets classified: 0
[2026-07-18 18:32:22,133] [INFO] [job_manager.py:185]: Progress updated to 65%: Extracted assets analyzed and mapped successfully
[2026-07-18 18:32:24,179] [INFO] [pipeline_service.py:139]: Loading template default for job: 4dcd0e66-44ed-4b9f-a34a-d51f90136ff8
[2026-07-18 18:32:24,181] [INFO] [job_manager.py:161]: Job status updated to: LOADING_TEMPLATE
[2026-07-18 18:32:24,198] [INFO] [job_manager.py:185]: Progress updated to 70%: Loading template styles: default
[2026-07-18 18:32:24,216] [INFO] [pipeline_service.py:157]: Template loaded and workspace prepared at: G:\work\Journal2LaTeX\backend\temp\4dcd0e66-44ed-4b9f-a34a-d51f90136ff8\rendered
[2026-07-18 18:32:24,233] [INFO] [job_manager.py:185]: Progress updated to 80%: Template workspace initialized
[2026-07-18 18:32:24,236] [INFO] [pipeline_service.py:170]: Starting LaTeX rendering for job: 4dcd0e66-44ed-4b9f-a34a-d51f90136ff8
[2026-07-18 18:32:24,252] [INFO] [job_manager.py:161]: Job status updated to: RENDERING_LATEX
[2026-07-18 18:32:24,265] [INFO] [job_manager.py:185]: Progress updated to 85%: Rendering document content to LaTeX
[2026-07-18 18:32:24,267] [INFO] [latex_renderer.py:70]: Starting LaTeX rendering inside workspace: G:\work\Journal2LaTeX\backend\temp\4dcd0e66-44ed-4b9f-a34a-d51f90136ff8\rendered
[2026-07-18 18:32:24,274] [INFO] [latex_renderer.py:337]: LaTeX document main.tex rendered successfully.
[2026-07-18 18:32:24,288] [INFO] [job_manager.py:185]: Progress updated to 90%: LaTeX document rendering completed
[2026-07-18 18:32:24,289] [INFO] [pipeline_service.py:204]: Starting document compilation for job: 4dcd0e66-44ed-4b9f-a34a-d51f90136ff8
[2026-07-18 18:32:24,301] [INFO] [job_manager.py:161]: Job status updated to: COMPILING
[2026-07-18 18:32:24,315] [INFO] [job_manager.py:185]: Progress updated to 92%: Compiling LaTeX source to PDF
[2026-07-18 18:32:26,773] [INFO] [pipeline_service.py:226]: Compilation completed successfully.
[2026-07-18 18:32:26,774] [INFO] [pipeline_service.py:238]: Running E2E publication fidelity checker for job: 4dcd0e66-44ed-4b9f-a34a-d51f90136ff8
[2026-07-18 18:32:26,774] [INFO] [fidelity_checker.py:24]: Generating advanced fidelity report and scores for job: 4dcd0e66-44ed-4b9f-a34a-d51f90136ff8
[2026-07-18 18:32:26,776] [INFO] [fidelity_checker.py:163]: Fidelity report written to G:\work\Journal2LaTeX\backend\temp\4dcd0e66-44ed-4b9f-a34a-d51f90136ff8\intermediate\fidelity_report.json. Overall Score: 99.5%, Critical missing: 0
[2026-07-18 18:32:26,790] [INFO] [job_manager.py:161]: Job status updated to: COMPLETED
[2026-07-18 18:32:26,811] [INFO] [job_manager.py:185]: Progress updated to 100%: Pipeline process completed successfully
