[2026-07-18 13:52:43,378] [INFO] [job_manager.py:117]: Job 5f74c12e-99d7-473c-b490-b02e2ef1843e workspace created successfully
[2026-07-18 13:52:45,448] [INFO] [pipeline_service.py:34]: Starting validation for job: 5f74c12e-99d7-473c-b490-b02e2ef1843e
[2026-07-18 13:52:45,461] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 13:52:45,475] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 13:52:45,477] [INFO] [pipeline_service.py:49]: Validation successful.
[2026-07-18 13:52:45,491] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 13:52:45,491] [INFO] [pipeline_service.py:56]: Starting document analysis for job: 5f74c12e-99d7-473c-b490-b02e2ef1843e
[2026-07-18 13:52:45,512] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 13:52:45,527] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 13:52:45,527] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\5f74c12e-99d7-473c-b490-b02e2ef1843e\input\sample.docx
[2026-07-18 13:52:45,577] [INFO] [document_analyzer.py:416]: Parsed document: title='Hello from Journal2LaTeX. This is a minimal DOCX document to verify the conversion engine.', authors=0, sections=0, references=0
[2026-07-18 13:52:45,578] [INFO] [pipeline_service.py:84]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\5f74c12e-99d7-473c-b490-b02e2ef1843e\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\5f74c12e-99d7-473c-b490-b02e2ef1843e\intermediate\conversion_report.json
[2026-07-18 13:52:45,595] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 13:52:45,595] [INFO] [pipeline_service.py:97]: Starting asset extraction for job: 5f74c12e-99d7-473c-b490-b02e2ef1843e
[2026-07-18 13:52:45,611] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
[2026-07-18 13:52:45,628] [INFO] [job_manager.py:185]: Progress updated to 50%: Extracting images and figure assets from document
[2026-07-18 13:52:45,678] [INFO] [pipeline_service.py:108]: Assets extracted to: G:\work\Journal2LaTeX\backend\temp\5f74c12e-99d7-473c-b490-b02e2ef1843e\intermediate\media
[2026-07-18 13:52:45,693] [INFO] [job_manager.py:185]: Progress updated to 60%: Document assets extracted successfully
