[2026-07-18 14:27:44,876] [INFO] [job_manager.py:117]: Job 7dedc5f1-7223-42ad-a5de-ea0a3939ddd7 workspace created successfully
[2026-07-18 14:27:46,939] [INFO] [pipeline_service.py:34]: Starting validation for job: 7dedc5f1-7223-42ad-a5de-ea0a3939ddd7
[2026-07-18 14:27:46,953] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 14:27:46,963] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 14:27:46,966] [INFO] [pipeline_service.py:49]: Validation successful.
[2026-07-18 14:27:46,978] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 14:27:46,978] [INFO] [pipeline_service.py:56]: Starting document analysis for job: 7dedc5f1-7223-42ad-a5de-ea0a3939ddd7
[2026-07-18 14:27:46,997] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 14:27:47,010] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 14:27:47,011] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\7dedc5f1-7223-42ad-a5de-ea0a3939ddd7\input\sample.docx
[2026-07-18 14:27:47,118] [INFO] [document_analyzer.py:416]: Parsed document: title='Hello from Journal2LaTeX. This is a minimal DOCX document to verify the conversion engine.', authors=0, sections=0, references=0
[2026-07-18 14:27:47,120] [INFO] [pipeline_service.py:84]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\7dedc5f1-7223-42ad-a5de-ea0a3939ddd7\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\7dedc5f1-7223-42ad-a5de-ea0a3939ddd7\intermediate\conversion_report.json
[2026-07-18 14:27:47,134] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 14:27:47,134] [INFO] [pipeline_service.py:97]: Starting asset extraction for job: 7dedc5f1-7223-42ad-a5de-ea0a3939ddd7
[2026-07-18 14:27:47,147] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
[2026-07-18 14:27:47,162] [INFO] [job_manager.py:185]: Progress updated to 50%: Extracting images and figure assets from document
[2026-07-18 14:27:47,221] [INFO] [pipeline_service.py:108]: Assets extracted to: G:\work\Journal2LaTeX\backend\temp\7dedc5f1-7223-42ad-a5de-ea0a3939ddd7\intermediate\media
[2026-07-18 14:27:47,234] [INFO] [job_manager.py:185]: Progress updated to 60%: Document assets extracted successfully
[2026-07-18 14:27:47,234] [INFO] [pipeline_service.py:120]: Classifying extracted assets for job: 7dedc5f1-7223-42ad-a5de-ea0a3939ddd7
[2026-07-18 14:27:47,234] [INFO] [asset_analyzer.py:23]: Starting extended asset analysis for job: 7dedc5f1-7223-42ad-a5de-ea0a3939ddd7
[2026-07-18 14:27:47,236] [INFO] [asset_analyzer.py:153]: Extended asset classification completed. Assets classified: 0
[2026-07-18 14:27:47,254] [INFO] [job_manager.py:185]: Progress updated to 65%: Extracted assets analyzed and mapped successfully
[2026-07-18 14:27:49,310] [INFO] [pipeline_service.py:136]: Loading template 4a872b67-35db-4d19-8af4-b9ac1aa38a50 for job: 7dedc5f1-7223-42ad-a5de-ea0a3939ddd7
[2026-07-18 14:27:49,311] [INFO] [job_manager.py:161]: Job status updated to: LOADING_TEMPLATE
[2026-07-18 14:27:49,329] [INFO] [job_manager.py:185]: Progress updated to 70%: Loading template styles: 4a872b67-35db-4d19-8af4-b9ac1aa38a50
[2026-07-18 14:27:49,343] [INFO] [pipeline_service.py:154]: Template loaded and workspace prepared at: G:\work\Journal2LaTeX\backend\temp\7dedc5f1-7223-42ad-a5de-ea0a3939ddd7\rendered
[2026-07-18 14:27:49,358] [INFO] [job_manager.py:185]: Progress updated to 80%: Template workspace initialized
[2026-07-18 14:27:49,359] [INFO] [pipeline_service.py:167]: Starting LaTeX rendering for job: 7dedc5f1-7223-42ad-a5de-ea0a3939ddd7
[2026-07-18 14:27:49,372] [INFO] [job_manager.py:161]: Job status updated to: RENDERING_LATEX
[2026-07-18 14:27:49,385] [INFO] [job_manager.py:185]: Progress updated to 85%: Rendering document content to LaTeX
[2026-07-18 14:27:49,386] [INFO] [latex_renderer.py:62]: Starting LaTeX rendering inside workspace: G:\work\Journal2LaTeX\backend\temp\7dedc5f1-7223-42ad-a5de-ea0a3939ddd7\rendered
[2026-07-18 14:27:49,391] [INFO] [latex_renderer.py:275]: LaTeX document main.tex rendered successfully.
[2026-07-18 14:27:49,405] [INFO] [job_manager.py:185]: Progress updated to 90%: LaTeX document rendering completed
[2026-07-18 14:27:49,406] [INFO] [pipeline_service.py:201]: Starting document compilation for job: 7dedc5f1-7223-42ad-a5de-ea0a3939ddd7
[2026-07-18 14:27:49,418] [INFO] [job_manager.py:161]: Job status updated to: COMPILING
[2026-07-18 14:27:49,429] [INFO] [job_manager.py:185]: Progress updated to 92%: Compiling LaTeX source to PDF
[2026-07-18 14:27:54,126] [INFO] [pipeline_service.py:223]: Compilation completed successfully.
[2026-07-18 14:27:54,127] [INFO] [pipeline_service.py:235]: Running E2E publication fidelity checker for job: 7dedc5f1-7223-42ad-a5de-ea0a3939ddd7
[2026-07-18 14:27:54,127] [INFO] [fidelity_checker.py:24]: Generating advanced fidelity report and scores for job: 7dedc5f1-7223-42ad-a5de-ea0a3939ddd7
