[2026-07-22 00:48:19,594] [INFO] [layout_optimizer.py:70]: Starting layout optimization loop for job: 80f75e59-b1df-40a6-b0fb-4436b793ed72
[2026-07-22 00:48:38,922] [INFO] [layout_optimizer.py:190]: Iteration 1: similarity 53.80%, header 85.50%, pages 23 (target 30)
[2026-07-22 00:48:51,146] [INFO] [layout_optimizer.py:190]: Iteration 2: similarity 61.24%, header 85.74%, pages 26 (target 30)
[2026-07-22 00:49:04,766] [INFO] [layout_optimizer.py:190]: Iteration 3: similarity 66.37%, header 84.47%, pages 28 (target 30)
[2026-07-22 00:49:17,565] [INFO] [layout_optimizer.py:190]: Iteration 4: similarity 71.08%, header 83.82%, pages 30 (target 30)
[2026-07-22 00:49:31,633] [INFO] [layout_optimizer.py:190]: Iteration 5: similarity 71.08%, header 83.83%, pages 30 (target 30)
[2026-07-22 00:49:44,994] [INFO] [layout_optimizer.py:190]: Iteration 6: similarity 71.23%, header 83.78%, pages 30 (target 30)
[2026-07-22 00:49:59,015] [INFO] [layout_optimizer.py:190]: Iteration 7: similarity 71.23%, header 83.78%, pages 30 (target 30)
[2026-07-22 00:50:13,133] [INFO] [layout_optimizer.py:190]: Iteration 8: similarity 71.23%, header 83.78%, pages 30 (target 30)
[2026-07-22 00:50:27,484] [INFO] [layout_optimizer.py:190]: Iteration 9: similarity 71.23%, header 83.78%, pages 30 (target 30)
[2026-07-22 00:50:41,638] [INFO] [layout_optimizer.py:190]: Iteration 10: similarity 71.23%, header 83.78%, pages 30 (target 30)
[2026-07-22 00:50:41,639] [INFO] [layout_optimizer.py:102]: Layout optimization finished (no improvement for 3 iterations). Best similarity: 71.23%
