[2026-07-18 18:31:39,011] [INFO] [job_manager.py:117]: Job 88f772d6-3a45-41a8-a158-39e136ffcc77 workspace created successfully
[2026-07-18 18:31:41,111] [INFO] [pipeline_service.py:36]: Starting validation for job: 88f772d6-3a45-41a8-a158-39e136ffcc77
[2026-07-18 18:31:41,129] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 18:31:41,146] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 18:31:41,164] [INFO] [pipeline_service.py:51]: Validation successful.
[2026-07-18 18:31:41,183] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 18:31:41,184] [INFO] [pipeline_service.py:58]: Starting document analysis for job: 88f772d6-3a45-41a8-a158-39e136ffcc77
[2026-07-18 18:31:41,207] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 18:31:41,223] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 18:31:41,224] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\88f772d6-3a45-41a8-a158-39e136ffcc77\input\style_ieee.docx
[2026-07-18 18:31:41,446] [INFO] [document_analyzer.py:416]: Parsed document: title='Test Document Title', authors=2, sections=1, references=2
[2026-07-18 18:31:41,448] [INFO] [pipeline_service.py:86]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\88f772d6-3a45-41a8-a158-39e136ffcc77\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\88f772d6-3a45-41a8-a158-39e136ffcc77\intermediate\conversion_report.json
[2026-07-18 18:31:41,465] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 18:31:41,465] [INFO] [pipeline_service.py:99]: Starting asset extraction for job: 88f772d6-3a45-41a8-a158-39e136ffcc77
[2026-07-18 18:31:41,483] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
[2026-07-18 18:31:41,499] [INFO] [job_manager.py:185]: Progress updated to 50%: Extracting images and figure assets from document
[2026-07-18 18:31:41,692] [INFO] [pipeline_service.py:111]: Assets extracted to: G:\work\Journal2LaTeX\backend\temp\88f772d6-3a45-41a8-a158-39e136ffcc77\intermediate\media
[2026-07-18 18:31:41,711] [INFO] [job_manager.py:185]: Progress updated to 60%: Document assets extracted successfully
[2026-07-18 18:31:41,711] [INFO] [pipeline_service.py:123]: Classifying extracted assets for job: 88f772d6-3a45-41a8-a158-39e136ffcc77
[2026-07-18 18:31:41,712] [INFO] [asset_analyzer.py:23]: Starting extended asset analysis for job: 88f772d6-3a45-41a8-a158-39e136ffcc77
[2026-07-18 18:31:41,714] [INFO] [asset_analyzer.py:153]: Extended asset classification completed. Assets classified: 0
[2026-07-18 18:31:41,730] [INFO] [job_manager.py:185]: Progress updated to 65%: Extracted assets analyzed and mapped successfully
[2026-07-18 18:31:43,812] [INFO] [pipeline_service.py:139]: Loading template default for job: 88f772d6-3a45-41a8-a158-39e136ffcc77
[2026-07-18 18:31:43,813] [INFO] [job_manager.py:161]: Job status updated to: LOADING_TEMPLATE
[2026-07-18 18:31:43,837] [INFO] [job_manager.py:185]: Progress updated to 70%: Loading template styles: default
[2026-07-18 18:31:43,846] [INFO] [pipeline_service.py:157]: Template loaded and workspace prepared at: G:\work\Journal2LaTeX\backend\temp\88f772d6-3a45-41a8-a158-39e136ffcc77\rendered
[2026-07-18 18:31:43,862] [INFO] [job_manager.py:185]: Progress updated to 80%: Template workspace initialized
[2026-07-18 18:31:43,863] [INFO] [pipeline_service.py:170]: Starting LaTeX rendering for job: 88f772d6-3a45-41a8-a158-39e136ffcc77
[2026-07-18 18:31:43,879] [INFO] [job_manager.py:161]: Job status updated to: RENDERING_LATEX
[2026-07-18 18:31:43,892] [INFO] [job_manager.py:185]: Progress updated to 85%: Rendering document content to LaTeX
[2026-07-18 18:31:43,894] [INFO] [latex_renderer.py:70]: Starting LaTeX rendering inside workspace: G:\work\Journal2LaTeX\backend\temp\88f772d6-3a45-41a8-a158-39e136ffcc77\rendered
[2026-07-18 18:31:43,980] [INFO] [latex_renderer.py:337]: LaTeX document main.tex rendered successfully.
[2026-07-18 18:31:43,992] [INFO] [job_manager.py:185]: Progress updated to 90%: LaTeX document rendering completed
[2026-07-18 18:31:43,993] [INFO] [pipeline_service.py:204]: Starting document compilation for job: 88f772d6-3a45-41a8-a158-39e136ffcc77
[2026-07-18 18:31:44,007] [INFO] [job_manager.py:161]: Job status updated to: COMPILING
[2026-07-18 18:31:44,022] [INFO] [job_manager.py:185]: Progress updated to 92%: Compiling LaTeX source to PDF
[2026-07-18 18:31:47,683] [INFO] [pipeline_service.py:226]: Compilation completed successfully.
[2026-07-18 18:31:47,684] [INFO] [pipeline_service.py:238]: Running E2E publication fidelity checker for job: 88f772d6-3a45-41a8-a158-39e136ffcc77
[2026-07-18 18:31:47,685] [INFO] [fidelity_checker.py:24]: Generating advanced fidelity report and scores for job: 88f772d6-3a45-41a8-a158-39e136ffcc77
[2026-07-18 18:31:47,687] [INFO] [fidelity_checker.py:163]: Fidelity report written to G:\work\Journal2LaTeX\backend\temp\88f772d6-3a45-41a8-a158-39e136ffcc77\intermediate\fidelity_report.json. Overall Score: 99.5%, Critical missing: 0
[2026-07-18 18:31:47,715] [INFO] [job_manager.py:161]: Job status updated to: COMPLETED
[2026-07-18 18:31:47,730] [INFO] [job_manager.py:185]: Progress updated to 100%: Pipeline process completed successfully
