[2026-07-18 18:30:16,616] [INFO] [job_manager.py:117]: Job 8947df9c-1dc3-4aa4-8b45-9abc878323cb workspace created successfully
[2026-07-18 18:30:18,675] [INFO] [pipeline_service.py:36]: Starting validation for job: 8947df9c-1dc3-4aa4-8b45-9abc878323cb
[2026-07-18 18:30:18,688] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 18:30:18,705] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 18:30:18,727] [INFO] [pipeline_service.py:51]: Validation successful.
[2026-07-18 18:30:18,744] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 18:30:18,744] [INFO] [pipeline_service.py:58]: Starting document analysis for job: 8947df9c-1dc3-4aa4-8b45-9abc878323cb
[2026-07-18 18:30:18,758] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 18:30:18,777] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 18:30:18,777] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\8947df9c-1dc3-4aa4-8b45-9abc878323cb\input\style_ieee.docx
[2026-07-18 18:30:18,995] [INFO] [document_analyzer.py:416]: Parsed document: title='Test Document Title', authors=2, sections=1, references=2
[2026-07-18 18:30:18,998] [INFO] [pipeline_service.py:86]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\8947df9c-1dc3-4aa4-8b45-9abc878323cb\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\8947df9c-1dc3-4aa4-8b45-9abc878323cb\intermediate\conversion_report.json
[2026-07-18 18:30:19,015] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 18:30:19,015] [INFO] [pipeline_service.py:99]: Starting asset extraction for job: 8947df9c-1dc3-4aa4-8b45-9abc878323cb
[2026-07-18 18:30:19,028] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
[2026-07-18 18:30:19,044] [INFO] [job_manager.py:185]: Progress updated to 50%: Extracting images and figure assets from document
[2026-07-18 18:30:19,286] [INFO] [pipeline_service.py:111]: Assets extracted to: G:\work\Journal2LaTeX\backend\temp\8947df9c-1dc3-4aa4-8b45-9abc878323cb\intermediate\media
[2026-07-18 18:30:19,300] [INFO] [job_manager.py:185]: Progress updated to 60%: Document assets extracted successfully
[2026-07-18 18:30:19,300] [INFO] [pipeline_service.py:123]: Classifying extracted assets for job: 8947df9c-1dc3-4aa4-8b45-9abc878323cb
[2026-07-18 18:30:19,300] [INFO] [asset_analyzer.py:23]: Starting extended asset analysis for job: 8947df9c-1dc3-4aa4-8b45-9abc878323cb
[2026-07-18 18:30:19,302] [INFO] [asset_analyzer.py:153]: Extended asset classification completed. Assets classified: 0
[2026-07-18 18:30:19,313] [INFO] [job_manager.py:185]: Progress updated to 65%: Extracted assets analyzed and mapped successfully
[2026-07-18 18:30:21,368] [INFO] [pipeline_service.py:139]: Loading template default for job: 8947df9c-1dc3-4aa4-8b45-9abc878323cb
[2026-07-18 18:30:21,370] [INFO] [job_manager.py:161]: Job status updated to: LOADING_TEMPLATE
[2026-07-18 18:30:21,392] [INFO] [job_manager.py:185]: Progress updated to 70%: Loading template styles: default
[2026-07-18 18:30:21,413] [INFO] [pipeline_service.py:157]: Template loaded and workspace prepared at: G:\work\Journal2LaTeX\backend\temp\8947df9c-1dc3-4aa4-8b45-9abc878323cb\rendered
[2026-07-18 18:30:21,429] [INFO] [job_manager.py:185]: Progress updated to 80%: Template workspace initialized
[2026-07-18 18:30:21,431] [INFO] [pipeline_service.py:170]: Starting LaTeX rendering for job: 8947df9c-1dc3-4aa4-8b45-9abc878323cb
