[2026-07-22 12:07:35,442] [INFO] [layout_optimizer.py:70]: Starting layout optimization loop for job: 8b2244d1-17bc-4574-bdd9-f668f3e0d83f
[2026-07-22 12:07:54,025] [INFO] [layout_optimizer.py:190]: Iteration 1: similarity 51.34%, header 83.15%, pages 22 (target 30)
[2026-07-22 12:08:04,531] [INFO] [layout_optimizer.py:190]: Iteration 2: similarity 56.24%, header 84.26%, pages 24 (target 30)
[2026-07-22 12:08:17,250] [INFO] [layout_optimizer.py:190]: Iteration 3: similarity 61.16%, header 85.01%, pages 26 (target 30)
[2026-07-22 12:08:29,975] [INFO] [layout_optimizer.py:190]: Iteration 4: similarity 66.25%, header 86.24%, pages 28 (target 30)
[2026-07-22 12:08:43,697] [INFO] [layout_optimizer.py:190]: Iteration 5: similarity 71.08%, header 87.26%, pages 30 (target 30)
[2026-07-22 12:08:56,312] [INFO] [layout_optimizer.py:190]: Iteration 6: similarity 71.06%, header 87.25%, pages 30 (target 30)
[2026-07-22 12:09:09,571] [INFO] [layout_optimizer.py:190]: Iteration 7: similarity 71.08%, header 87.25%, pages 30 (target 30)
[2026-07-22 12:09:22,764] [INFO] [layout_optimizer.py:190]: Iteration 8: similarity 71.08%, header 87.25%, pages 30 (target 30)
[2026-07-22 12:09:35,349] [INFO] [layout_optimizer.py:190]: Iteration 9: similarity 71.08%, header 87.25%, pages 30 (target 30)
[2026-07-22 12:09:48,188] [INFO] [layout_optimizer.py:190]: Iteration 10: similarity 71.08%, header 87.25%, pages 30 (target 30)
[2026-07-22 12:09:48,189] [INFO] [layout_optimizer.py:102]: Layout optimization finished (no improvement for 3 iterations). Best similarity: 71.08%
