[2026-07-21 21:04:18,489] [INFO] [layout_optimizer.py:70]: Starting layout optimization loop for job: 9413c05e-f87b-4f2c-a985-405e7541f89b
[2026-07-21 21:04:39,871] [INFO] [layout_optimizer.py:190]: Iteration 1: similarity 53.82%, header 85.89%, pages 23 (target 30)
[2026-07-21 21:04:52,361] [INFO] [layout_optimizer.py:190]: Iteration 2: similarity 61.24%, header 86.14%, pages 26 (target 30)
[2026-07-21 21:05:05,465] [INFO] [layout_optimizer.py:190]: Iteration 3: similarity 66.36%, header 85.04%, pages 28 (target 30)
[2026-07-21 21:05:19,783] [INFO] [layout_optimizer.py:190]: Iteration 4: similarity 71.26%, header 84.59%, pages 30 (target 30)
[2026-07-21 21:05:33,402] [INFO] [layout_optimizer.py:190]: Iteration 5: similarity 71.26%, header 84.60%, pages 30 (target 30)
[2026-07-21 21:05:46,784] [INFO] [layout_optimizer.py:190]: Iteration 6: similarity 71.26%, header 84.58%, pages 30 (target 30)
[2026-07-21 21:06:00,823] [INFO] [layout_optimizer.py:190]: Iteration 7: similarity 71.27%, header 84.58%, pages 30 (target 30)
[2026-07-21 21:06:14,749] [INFO] [layout_optimizer.py:190]: Iteration 8: similarity 71.26%, header 84.58%, pages 30 (target 30)
[2026-07-21 21:06:28,818] [INFO] [layout_optimizer.py:190]: Iteration 9: similarity 71.27%, header 84.58%, pages 30 (target 30)
[2026-07-21 21:06:42,812] [INFO] [layout_optimizer.py:190]: Iteration 10: similarity 71.27%, header 84.58%, pages 30 (target 30)
[2026-07-21 21:06:42,814] [INFO] [layout_optimizer.py:102]: Layout optimization finished (no improvement for 3 iterations). Best similarity: 71.27%
