[2026-07-18 18:31:49,877] [INFO] [job_manager.py:117]: Job d72fbbd6-9510-4107-b6ae-3fc366851bae workspace created successfully
[2026-07-18 18:31:51,927] [INFO] [pipeline_service.py:36]: Starting validation for job: d72fbbd6-9510-4107-b6ae-3fc366851bae
[2026-07-18 18:31:51,938] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 18:31:51,949] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 18:31:51,962] [INFO] [pipeline_service.py:51]: Validation successful.
[2026-07-18 18:31:51,976] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 18:31:51,976] [INFO] [pipeline_service.py:58]: Starting document analysis for job: d72fbbd6-9510-4107-b6ae-3fc366851bae
[2026-07-18 18:31:51,999] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 18:31:52,016] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 18:31:52,016] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\d72fbbd6-9510-4107-b6ae-3fc366851bae\input\style_vancouver.docx
[2026-07-18 18:31:52,272] [INFO] [document_analyzer.py:416]: Parsed document: title='Test Document Title', authors=2, sections=1, references=2
[2026-07-18 18:31:52,274] [INFO] [pipeline_service.py:86]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\d72fbbd6-9510-4107-b6ae-3fc366851bae\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\d72fbbd6-9510-4107-b6ae-3fc366851bae\intermediate\conversion_report.json
[2026-07-18 18:31:52,286] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 18:31:52,286] [INFO] [pipeline_service.py:99]: Starting asset extraction for job: d72fbbd6-9510-4107-b6ae-3fc366851bae
[2026-07-18 18:31:52,298] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
