[2026-07-18 18:29:33,281] [INFO] [job_manager.py:117]: Job dc238079-1db1-4a04-a47c-9fecbc6875c7 workspace created successfully
[2026-07-18 18:29:35,350] [INFO] [pipeline_service.py:36]: Starting validation for job: dc238079-1db1-4a04-a47c-9fecbc6875c7
[2026-07-18 18:29:35,363] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 18:29:35,376] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 18:29:35,390] [INFO] [pipeline_service.py:51]: Validation successful.
[2026-07-18 18:29:35,405] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 18:29:35,405] [INFO] [pipeline_service.py:58]: Starting document analysis for job: dc238079-1db1-4a04-a47c-9fecbc6875c7
[2026-07-18 18:29:35,418] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 18:29:35,433] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 18:29:35,433] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\dc238079-1db1-4a04-a47c-9fecbc6875c7\input\style_ieee.docx
[2026-07-18 18:29:35,749] [INFO] [document_analyzer.py:416]: Parsed document: title='Test Document', authors=1, sections=0, references=2
[2026-07-18 18:29:35,751] [INFO] [pipeline_service.py:86]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\dc238079-1db1-4a04-a47c-9fecbc6875c7\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\dc238079-1db1-4a04-a47c-9fecbc6875c7\intermediate\conversion_report.json
[2026-07-18 18:29:35,764] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 18:29:35,764] [INFO] [pipeline_service.py:99]: Starting asset extraction for job: dc238079-1db1-4a04-a47c-9fecbc6875c7
[2026-07-18 18:29:35,776] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
[2026-07-18 18:29:35,793] [INFO] [job_manager.py:185]: Progress updated to 50%: Extracting images and figure assets from document
[2026-07-18 18:29:36,016] [INFO] [pipeline_service.py:111]: Assets extracted to: G:\work\Journal2LaTeX\backend\temp\dc238079-1db1-4a04-a47c-9fecbc6875c7\intermediate\media
[2026-07-18 18:29:36,028] [INFO] [job_manager.py:185]: Progress updated to 60%: Document assets extracted successfully
[2026-07-18 18:29:36,028] [INFO] [pipeline_service.py:123]: Classifying extracted assets for job: dc238079-1db1-4a04-a47c-9fecbc6875c7
[2026-07-18 18:29:36,028] [INFO] [asset_analyzer.py:23]: Starting extended asset analysis for job: dc238079-1db1-4a04-a47c-9fecbc6875c7
[2026-07-18 18:29:36,030] [INFO] [asset_analyzer.py:153]: Extended asset classification completed. Assets classified: 0
[2026-07-18 18:29:36,043] [INFO] [job_manager.py:185]: Progress updated to 65%: Extracted assets analyzed and mapped successfully
[2026-07-18 18:29:38,087] [INFO] [pipeline_service.py:139]: Loading template default for job: dc238079-1db1-4a04-a47c-9fecbc6875c7
[2026-07-18 18:29:38,088] [INFO] [job_manager.py:161]: Job status updated to: LOADING_TEMPLATE
[2026-07-18 18:29:38,107] [INFO] [job_manager.py:185]: Progress updated to 70%: Loading template styles: default
[2026-07-18 18:29:38,124] [INFO] [pipeline_service.py:157]: Template loaded and workspace prepared at: G:\work\Journal2LaTeX\backend\temp\dc238079-1db1-4a04-a47c-9fecbc6875c7\rendered
[2026-07-18 18:29:38,139] [INFO] [job_manager.py:185]: Progress updated to 80%: Template workspace initialized
[2026-07-18 18:29:38,140] [INFO] [pipeline_service.py:170]: Starting LaTeX rendering for job: dc238079-1db1-4a04-a47c-9fecbc6875c7
[2026-07-18 18:29:38,153] [INFO] [job_manager.py:161]: Job status updated to: RENDERING_LATEX
[2026-07-18 18:29:38,164] [INFO] [job_manager.py:185]: Progress updated to 85%: Rendering document content to LaTeX
[2026-07-18 18:29:38,178] [INFO] [latex_renderer.py:70]: Starting LaTeX rendering inside workspace: G:\work\Journal2LaTeX\backend\temp\dc238079-1db1-4a04-a47c-9fecbc6875c7\rendered
[2026-07-18 18:29:38,187] [INFO] [latex_renderer.py:337]: LaTeX document main.tex rendered successfully.
[2026-07-18 18:29:38,202] [INFO] [job_manager.py:185]: Progress updated to 90%: LaTeX document rendering completed
[2026-07-18 18:29:38,202] [INFO] [pipeline_service.py:204]: Starting document compilation for job: dc238079-1db1-4a04-a47c-9fecbc6875c7
[2026-07-18 18:29:38,216] [INFO] [job_manager.py:161]: Job status updated to: COMPILING
[2026-07-18 18:29:38,229] [INFO] [job_manager.py:185]: Progress updated to 92%: Compiling LaTeX source to PDF
[2026-07-18 18:29:41,951] [INFO] [pipeline_service.py:226]: Compilation completed successfully.
[2026-07-18 18:29:41,952] [INFO] [pipeline_service.py:238]: Running E2E publication fidelity checker for job: dc238079-1db1-4a04-a47c-9fecbc6875c7
