[2026-07-18 13:05:33,814] [INFO] [job_manager.py:117]: Job e7f986af-44bd-440d-b16c-86efedcdb3e0 workspace created successfully
[2026-07-18 13:05:35,890] [INFO] [pipeline_service.py:34]: Starting validation for job: e7f986af-44bd-440d-b16c-86efedcdb3e0
[2026-07-18 13:05:35,910] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 13:05:35,925] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 13:05:35,927] [INFO] [pipeline_service.py:49]: Validation successful.
[2026-07-18 13:05:35,939] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 13:05:35,939] [INFO] [pipeline_service.py:56]: Starting document analysis for job: e7f986af-44bd-440d-b16c-86efedcdb3e0
[2026-07-18 13:05:35,956] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 13:05:35,967] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 13:05:35,967] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\e7f986af-44bd-440d-b16c-86efedcdb3e0\input\sample.docx
[2026-07-18 13:05:36,016] [INFO] [document_analyzer.py:416]: Parsed document: title='Hello from Journal2LaTeX. This is a minimal DOCX document to verify the conversion engine.', authors=0, sections=0, references=0
[2026-07-18 13:05:36,019] [INFO] [pipeline_service.py:84]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\e7f986af-44bd-440d-b16c-86efedcdb3e0\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\e7f986af-44bd-440d-b16c-86efedcdb3e0\intermediate\conversion_report.json
[2026-07-18 13:05:36,031] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 13:05:36,032] [INFO] [pipeline_service.py:97]: Starting asset extraction for job: e7f986af-44bd-440d-b16c-86efedcdb3e0
[2026-07-18 13:05:36,044] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
[2026-07-18 13:05:36,055] [INFO] [job_manager.py:185]: Progress updated to 50%: Extracting images and figure assets from document
[2026-07-18 13:05:36,098] [INFO] [pipeline_service.py:108]: Assets extracted to: G:\work\Journal2LaTeX\backend\temp\e7f986af-44bd-440d-b16c-86efedcdb3e0\intermediate\media
[2026-07-18 13:05:36,111] [INFO] [job_manager.py:185]: Progress updated to 60%: Document assets extracted successfully
[2026-07-18 13:05:36,111] [INFO] [pipeline_service.py:120]: Classifying extracted assets for job: e7f986af-44bd-440d-b16c-86efedcdb3e0
[2026-07-18 13:05:36,112] [INFO] [asset_analyzer.py:23]: Starting extended asset analysis for job: e7f986af-44bd-440d-b16c-86efedcdb3e0
[2026-07-18 13:05:36,113] [INFO] [asset_analyzer.py:153]: Extended asset classification completed. Assets classified: 0
[2026-07-18 13:05:36,126] [INFO] [job_manager.py:185]: Progress updated to 65%: Extracted assets analyzed and mapped successfully
[2026-07-18 13:05:38,198] [INFO] [pipeline_service.py:136]: Loading template 893c30dc-c9ec-41a6-883b-f6f23e5b8d0f for job: e7f986af-44bd-440d-b16c-86efedcdb3e0
[2026-07-18 13:05:38,199] [INFO] [job_manager.py:161]: Job status updated to: LOADING_TEMPLATE
