[2026-07-18 18:30:37,934] [INFO] [job_manager.py:117]: Job f0bf9144-22da-49ab-b0ae-961caae8131e workspace created successfully
[2026-07-18 18:30:39,994] [INFO] [pipeline_service.py:36]: Starting validation for job: f0bf9144-22da-49ab-b0ae-961caae8131e
[2026-07-18 18:30:40,009] [INFO] [job_manager.py:161]: Job status updated to: VALIDATING
[2026-07-18 18:30:40,023] [INFO] [job_manager.py:185]: Progress updated to 10%: Validating input Word Document
[2026-07-18 18:30:40,035] [INFO] [pipeline_service.py:51]: Validation successful.
[2026-07-18 18:30:40,048] [INFO] [job_manager.py:185]: Progress updated to 20%: Input document validated successfully
[2026-07-18 18:30:40,048] [INFO] [pipeline_service.py:58]: Starting document analysis for job: f0bf9144-22da-49ab-b0ae-961caae8131e
[2026-07-18 18:30:40,059] [INFO] [job_manager.py:161]: Job status updated to: ANALYZING_DOCUMENT
[2026-07-18 18:30:40,071] [INFO] [job_manager.py:185]: Progress updated to 30%: Analyzing document structure and content blocks
[2026-07-18 18:30:40,072] [INFO] [document_analyzer.py:33]: Starting improved document analysis for: G:\work\Journal2LaTeX\backend\temp\f0bf9144-22da-49ab-b0ae-961caae8131e\input\style_apa.docx
[2026-07-18 18:30:40,246] [INFO] [document_analyzer.py:416]: Parsed document: title='Test Document Title', authors=2, sections=1, references=1
[2026-07-18 18:30:40,248] [INFO] [pipeline_service.py:86]: Document analysis completed. Saved structure to: G:\work\Journal2LaTeX\backend\temp\f0bf9144-22da-49ab-b0ae-961caae8131e\intermediate\document_structure.json, report to: G:\work\Journal2LaTeX\backend\temp\f0bf9144-22da-49ab-b0ae-961caae8131e\intermediate\conversion_report.json
[2026-07-18 18:30:40,261] [INFO] [job_manager.py:185]: Progress updated to 45%: Document structure extracted successfully
[2026-07-18 18:30:40,261] [INFO] [pipeline_service.py:99]: Starting asset extraction for job: f0bf9144-22da-49ab-b0ae-961caae8131e
[2026-07-18 18:30:40,276] [INFO] [job_manager.py:161]: Job status updated to: EXTRACTING_ASSETS
[2026-07-18 18:30:40,287] [INFO] [job_manager.py:185]: Progress updated to 50%: Extracting images and figure assets from document
[2026-07-18 18:30:40,490] [INFO] [pipeline_service.py:111]: Assets extracted to: G:\work\Journal2LaTeX\backend\temp\f0bf9144-22da-49ab-b0ae-961caae8131e\intermediate\media
[2026-07-18 18:30:40,508] [INFO] [job_manager.py:185]: Progress updated to 60%: Document assets extracted successfully
[2026-07-18 18:30:40,508] [INFO] [pipeline_service.py:123]: Classifying extracted assets for job: f0bf9144-22da-49ab-b0ae-961caae8131e
[2026-07-18 18:30:40,508] [INFO] [asset_analyzer.py:23]: Starting extended asset analysis for job: f0bf9144-22da-49ab-b0ae-961caae8131e
[2026-07-18 18:30:40,511] [INFO] [asset_analyzer.py:153]: Extended asset classification completed. Assets classified: 0
[2026-07-18 18:30:40,522] [INFO] [job_manager.py:185]: Progress updated to 65%: Extracted assets analyzed and mapped successfully
[2026-07-18 18:30:42,590] [INFO] [pipeline_service.py:139]: Loading template default for job: f0bf9144-22da-49ab-b0ae-961caae8131e
[2026-07-18 18:30:42,594] [INFO] [job_manager.py:161]: Job status updated to: LOADING_TEMPLATE
[2026-07-18 18:30:42,616] [INFO] [job_manager.py:185]: Progress updated to 70%: Loading template styles: default
[2026-07-18 18:30:42,634] [INFO] [pipeline_service.py:157]: Template loaded and workspace prepared at: G:\work\Journal2LaTeX\backend\temp\f0bf9144-22da-49ab-b0ae-961caae8131e\rendered
[2026-07-18 18:30:42,654] [INFO] [job_manager.py:185]: Progress updated to 80%: Template workspace initialized
[2026-07-18 18:30:42,656] [INFO] [pipeline_service.py:170]: Starting LaTeX rendering for job: f0bf9144-22da-49ab-b0ae-961caae8131e
[2026-07-18 18:30:42,673] [INFO] [job_manager.py:161]: Job status updated to: RENDERING_LATEX
[2026-07-18 18:30:42,691] [INFO] [job_manager.py:185]: Progress updated to 85%: Rendering document content to LaTeX
[2026-07-18 18:30:42,703] [INFO] [latex_renderer.py:70]: Starting LaTeX rendering inside workspace: G:\work\Journal2LaTeX\backend\temp\f0bf9144-22da-49ab-b0ae-961caae8131e\rendered
[2026-07-18 18:30:42,709] [INFO] [latex_renderer.py:337]: LaTeX document main.tex rendered successfully.
[2026-07-18 18:30:42,725] [INFO] [job_manager.py:185]: Progress updated to 90%: LaTeX document rendering completed
[2026-07-18 18:30:42,726] [INFO] [pipeline_service.py:204]: Starting document compilation for job: f0bf9144-22da-49ab-b0ae-961caae8131e
[2026-07-18 18:30:42,741] [INFO] [job_manager.py:161]: Job status updated to: COMPILING
[2026-07-18 18:30:42,756] [INFO] [job_manager.py:185]: Progress updated to 92%: Compiling LaTeX source to PDF
[2026-07-18 18:30:45,071] [INFO] [pipeline_service.py:226]: Compilation completed successfully.
[2026-07-18 18:30:45,071] [INFO] [pipeline_service.py:238]: Running E2E publication fidelity checker for job: f0bf9144-22da-49ab-b0ae-961caae8131e
[2026-07-18 18:30:45,072] [INFO] [fidelity_checker.py:24]: Generating advanced fidelity report and scores for job: f0bf9144-22da-49ab-b0ae-961caae8131e
[2026-07-18 18:30:45,079] [INFO] [fidelity_checker.py:163]: Fidelity report written to G:\work\Journal2LaTeX\backend\temp\f0bf9144-22da-49ab-b0ae-961caae8131e\intermediate\fidelity_report.json. Overall Score: 99.5%, Critical missing: 0
[2026-07-18 18:30:45,098] [INFO] [job_manager.py:161]: Job status updated to: COMPLETED
[2026-07-18 18:30:45,112] [INFO] [job_manager.py:185]: Progress updated to 100%: Pipeline process completed successfully
